,Company,Symbol,Portfolio%,??????Price,Chg,% Chg,
284,"Delta Air Lines, Inc.",DAL,0.06%,???42.01,0.03,-0.07%,
285,"West Pharmaceutical Services, Inc.",WST,0.06%,???357.31,-0.98,(-0.27%),
286,"Zimmer Biomet Holdings, Inc.",ZBH,0.06%,???124.13,-2.24,(-1.77%),
287,Tractor Supply Co,TSCO,0.06%,???252.60,1.4,-0.56%,
288,Mettler-Toledo International,MTD,0.06%,"???1,243.57",30.36,-2.50%,
289,Howmet Aerospace Inc.,HWM,0.06%,???66.76,0.79,-1.20%,
290,Edison International,EIX,0.06%,???67.85,0.14,-0.21%,
291,Lyondellbasell Industries N.v. Class A,LYB,0.06%,???98.79,-0.21,(-0.21%),
292,Hp Inc.,HPQ,0.06%,???28.72,-0.11,(-0.38%),
293,Corning Incorporated,GLW,0.06%,???32.09,-0.34,(-1.05%),
294,Wabtec Inc.,WAB,0.06%,???139.49,1.79,-1.30%,
295,T Rowe Price Group Inc,TROW,0.06%,???112.35,1.49,-1.34%,
296,"Church & Dwight Co., Inc.",CHD,0.06%,???100.12,0.23,-0.23%,
297,"Avalonbay Communities, Inc.",AVB,0.06%,???176.37,2,-1.15%,
298,"Wec Energy Group, Inc.",WEC,0.06%,???77.20,-0.26,(-0.34%),
299,"Nvr, Inc.",NVR,0.06%,"???7,584.99",41.88,-0.56%,
300,Weyerhaeuser Company,WY,0.06%,???34.23,1.33,-4.04%,
301,Broadridge Financial Solutions Inc,BR,0.06%,???201.45,1.44,-0.72%,
302,Take-Two Interactive Software Inc,TTWO,0.06%,???147.48,-0.46,(-0.31%),
303,"Builders Firstsource, Inc.",BLDR,0.06%,???193.27,0.11,-0.06%,
304,"Molina Healthcare, Inc.",MOH,0.05%,???401.78,1.66,-0.41%,
305,Steris Plc,STE,0.05%,???231.34,-1.18,(-0.51%),
306,Dover Corporation,DOV,0.05%,???164.36,0.27,-0.16%,
307,"Pultegroup, Inc.",PHM,0.05%,???106.43,-0.43,(-0.40%),
308,Ebay Inc,EBAY,0.05%,???47.89,3.5,-7.88%,
309,"American Water Works Company, Inc",AWK,0.05%,???117.91,-0.12,(-0.10%),
310,Fifth Third Bancorp,FITB,0.05%,???33.58,-0.39,(-1.15%),
311,M&t Bank Corp.,MTB,0.05%,???138.13,-0.6,(-0.43%),
312,State Street Corporation,STT,0.05%,???73.37,-0.11,(-0.15%),
313,Sba Communications Corp,SBAC,0.05%,???205.16,5.21,-2.61%,
314,"Raymond James Financial, Inc.",RJF,0.05%,???120.43,0.72,-0.60%,
315,Align Technology Inc,ALGN,0.05%,???302.39,-10.67,(-3.41%),
316,Iron Mountain Inc.,IRM,0.05%,???75.36,1.36,-1.84%,
317,Aptiv Plc,APTV,0.05%,???78.77,-0.06,(-0.08%),
318,Dte Energy Company,DTE,0.05%,???108.10,0.77,-0.72%,
319,Targa Resources Corp.,TRGP,0.05%,???97.40,0.32,-0.33%,
320,"Ptc, Inc",PTC,0.05%,???184.29,1.93,-1.06%,
321,Illumina Inc,ILMN,0.05%,???140.98,1.22,-0.87%,
322,Baxter International Inc.,BAX,0.05%,???41.56,-0.29,(-0.69%),
323,Entergy Corporation,ETR,0.05%,???100.57,-0.2,(-0.20%),
324,Genuine Parts Company,GPC,0.05%,???151.75,1.18,-0.78%,
325,"Cboe Global Markets, Inc.",CBOE,0.05%,???195.78,0.92,-0.47%,
326,Garmin Ltd,GRMN,0.05%,???137.30,2.61,-1.94%,
327,"Darden Restaurants, Inc.",DRI,0.05%,???170.45,0.92,-0.54%,
328,Southwest Airlines Co.,LUV,0.05%,???34.47,-0.05,(-0.14%),
329,Eversource Energy,ES,0.05%,???58.61,-0.66,(-1.11%),
330,Equity Residential,EQR,0.05%,???59.72,0.25,-0.42%,
331,"Fleetcor Technologies, Inc.",FLT,0.05%,???275.66,-2.89,(-1.04%),
